municipio;data;temperatura_max;temperatura_min;temperatura_media;precipitacao
Caruaru;2024-11-25;30.9;21.4;25.1;1.5
Caruaru;2024-11-26;31.5;20.2;24.8;0.0
Caruaru;2024-11-27;31.3;19.2;24.1;0.0
Caruaru;2024-11-28;30.7;19.6;24.5;0.0
Caruaru;2024-11-29;30.7;20.3;24.4;0.0
Caruaru;2024-11-30;30.9;19.6;24.3;0.1
Caruaru;2024-12-01;32.1;19.0;24.8;0.0
Caruaru;2024-12-02;30.8;21.4;24.0;9.7
Caruaru;2024-12-03;28.5;21.0;23.6;3.8
Caruaru;2024-12-04;28.1;20.9;23.5;2.7
Caruaru;2024-12-05;29.6;20.1;23.8;0.2
Caruaru;2024-12-06;29.5;20.1;23.6;0.5
Caruaru;2024-12-07;28.4;19.9;23.4;1.8
Caruaru;2024-12-08;28.7;19.4;23.7;2.4
Caruaru;2024-12-09;29.6;19.8;23.9;0.0
Caruaru;2024-12-10;30.0;18.9;23.6;0.0
Caruaru;2024-12-11;30.9;20.4;24.7;0.7
Caruaru;2024-12-12;31.9;21.0;25.3;0.0
Caruaru;2024-12-13;31.0;20.1;24.9;0.0
Caruaru;2024-12-14;29.2;20.6;;
Caruaru;2024-12-15;;;;
Caruaru;2024-12-16;;;;
Petrolina;2024-10-17;33.7;23.7;27.9;13.0
Petrolina;2024-10-18;26.2;22.7;24.3;12.5
Petrolina;2024-10-19;32.8;23.3;27.6;0.1
Petrolina;2024-10-20;32.8;23.2;27.7;0.2
Petrolina;2024-10-21;33.5;22.5;27.7;0.0
Petrolina;2024-10-22;34.8;22.1;28.1;0.0
Petrolina;2024-10-23;34.6;20.8;27.9;0.0
Petrolina;2024-10-24;35.6;22.2;29.1;0.0
Petrolina;2024-10-25;35.4;23.1;29.6;0.0
Petrolina;2024-10-26;36.7;23.4;30.2;0.0
Petrolina;2024-10-27;37.7;23.7;30.9;0.0
Petrolina;2024-10-28;35.6;24.1;30.0;0.0
Petrolina;2024-10-29;35.3;22.3;29.6;0.0
Petrolina;2024-10-30;35.4;23.0;29.6;0.0
Petrolina;2024-10-31;35.8;22.8;29.8;0.0
Petrolina;2024-11-01;35.9;23.5;30.0;0.0
Petrolina;2024-11-02;36.7;23.8;30.2;0.0
Petrolina;2024-11-03;35.6;22.8;29.3;0.0
Petrolina;2024-11-04;35.3;22.7;29.2;0.0
Petrolina;2024-11-05;35.6;22.6;29.2;0.0
Petrolina;2024-11-06;35.6;23.4;29.7;0.0
Petrolina;2024-11-07;35.5;23.4;29.7;0.0
Petrolina;2024-11-08;36.0;23.6;30.4;0.0
Petrolina;2024-11-09;36.2;25.1;31.0;0.0
Petrolina;2024-11-10;37.0;25.7;30.6;0.2
Petrolina;2024-11-11;31.6;23.9;26.6;7.4
Petrolina;2024-11-12;28.0;22.8;25.4;0.1
Petrolina;2024-11-13;31.9;22.9;27.2;0.3
Petrolina;2024-11-14;33.5;23.1;28.4;0.0
Petrolina;2024-11-15;34.3;21.6;27.8;0.0
Petrolina;2024-11-16;34.4;21.9;28.2;0.2
Petrolina;2024-11-17;34.2;22.3;28.5;0.0
Petrolina;2024-11-18;34.7;22.6;28.7;0.0
Petrolina;2024-11-19;34.9;23.0;29.4;0.0
Petrolina;2024-11-20;35.5;24.0;30.1;0.0
Petrolina;2024-11-21;35.3;25.3;30.7;0.0
Petrolina;2024-11-22;36.4;26.5;31.5;0.2
Petrolina;2024-11-23;35.5;25.8;30.2;0.6
Petrolina;2024-11-24;34.5;24.8;29.2;0.5
Petrolina;2024-11-25;25.3;22.5;23.8;33.6
Petrolina;2024-11-26;28.6;22.5;25.5;2.0
Petrolina;2024-11-27;30.9;22.6;26.5;0.6
Petrolina;2024-11-28;32.0;22.2;27.0;0.0
Petrolina;2024-11-29;33.8;21.9;27.9;0.0
Petrolina;2024-11-30;34.7;22.6;28.7;0.0
Petrolina;2024-12-01;34.5;22.6;29.1;0.0
Petrolina;2024-12-02;34.6;23.4;29.3;0.0
Petrolina;2024-12-03;33.6;24.1;29.0;0.7
Petrolina;2024-12-04;33.1;24.3;28.8;1.4
Petrolina;2024-12-05;33.3;24.2;28.8;0.1
Petrolina;2024-12-06;33.2;23.1;28.4;0.0
Petrolina;2024-12-07;34.3;23.9;28.7;0.0
Petrolina;2024-12-08;32.7;24.2;28.7;0.2
Petrolina;2024-12-09;35.2;23.8;29.6;0.0
Petrolina;2024-12-10;35.1;22.9;29.1;0.0
Petrolina;2024-12-11;35.5;23.1;29.8;0.0
Petrolina;2024-12-12;36.7;25.6;31.4;0.0
Petrolina;2024-12-13;35.9;24.7;30.3;0.0
Petrolina;2024-12-14;34.3;22.9;;
Petrolina;2024-12-15;;;;
Petrolina;2024-12-16;;;;
Garanhuns;2024-10-17;25.5;18.0;21.1;1.5
Garanhuns;2024-10-18;25.3;18.1;20.5;5.1
Garanhuns;2024-10-19;25.9;16.9;21.3;1.0
Garanhuns;2024-10-20;26.9;16.4;20.8;0.0
Garanhuns;2024-10-21;26.9;16.2;20.8;0.1
Garanhuns;2024-10-22;25.7;16.3;20.1;0.1
Garanhuns;2024-10-23;25.4;16.2;20.1;0.0
Garanhuns;2024-10-24;25.9;16.1;20.2;0.2
Garanhuns;2024-10-25;26.9;16.0;20.6;0.0
Garanhuns;2024-10-26;28.1;15.5;20.9;0.0
Garanhuns;2024-10-27;27.5;17.0;21.5;0.4
Garanhuns;2024-10-28;26.4;16.7;21.2;0.1
Garanhuns;2024-10-29;25.9;15.8;20.2;0.1
Garanhuns;2024-10-30;28.1;15.5;20.9;0.0
Garanhuns;2024-10-31;28.1;15.9;21.5;0.0
Garanhuns;2024-11-01;27.6;16.8;21.2;0.0
Garanhuns;2024-11-02;26.5;17.1;21.2;0.2
Garanhuns;2024-11-03;26.9;16.5;20.6;0.0
